Text,Difficulty,Difficulty Annotator 1,Difficulty Annotator 2,Difficulty Annotator 3
"C’est déjà le lundi, et toute la semaine recommence.",,A1,A1,A2
"Cher Lucas, Je t'écris de chez mes grands-parents à l'Aigle en Normandie où je passe de super vacances depuis maintenant une semaine.",,A1,A2,B1
"Ici, il fait beau et chaud.",,A2,A1,A1
On a de la chance !,,A2,A1,A1
J'en profite pour me baigner à la rivière avec mes cousins presque tous les jours !,,A2,A1,B1
"Au programme des activités, on a : randonnées, baignade à la rivière, pique-nique en famille, équitation et travail à la ferme.",,A1,A2,B1
"Mes grands-parents possèdent 11 poules, 1 coq, 2 cochons, 5 canards, 2 chiens, 3 chats et 1 poney.",,B1,A2,B1
Il faut du temps et du courage pour soigner toute cette ménagerie !,,A2,A1,B2
"En plus des animaux, il faut aussi s'occuper du potager de mon papy.",,B1,A2,B2
"Nous avons beaucoup de chance de pouvoir manger des légumes frais du jardin tous les jours : salade, tomates, carottes, chou, radis, pommes de terre,...",,A2,A2,B2
"Il y a aussi quelques arbres fruitiers comme un cerisier, un pommier, un abricotier,... mais aussi des fraisiers : je me régale et je fais le plein de vitamines !",,A2,A2,B2
J'espère que tu passes de bonnes vacances à Limoges.,,A2,A2,A2
Je te dis à très bientôt pour une rentrée des classes en pleine forme !,,A1,A2,A2
"Mes amitiés,Pierre.",,A1,A2,A1
"Le matin, Théo se lève à six heures.",,A1,A1,A1
"Il reste au lit un quart d’heure dans le noir avant de se lever, pour faire durer la nuit.",,A1,A1,B1
"Tous les matins, il suit la même routine : il commence par se laver le visage avant de prendre une douche.",,B1,A2,B2
"Ensuite, il se sèche très vite les cheveux pour aller manger son petit déjeuner.",,B1,A2,B2
Il doit se dépêcher pour ne pas être en retard à l’école.,,B1,A2,B2
"Après son repas, il retourne à la salle de bain pour se brosser les dents et pour aller aux toilettes.",,B1,B1,B2
Théo vérifie qu’il a bien fait son lit avant de s’habiller et de partir à l’école.,,A2,A2,B2
La journée est longue pour lui.,,B2,A1,B2
"Il doit étudier et écrire pendant quatre heures le matin et il ne peut se reposer que vingt minutes au moment de la récréation, à dix heures du matin.",,B2,A2,B2
"À midi, c’est l’heure de déjeuner.",,A1,A1,B2
"Pendant une heure et demie, Théo peut penser à autre chose qu’à l’école et s’amuser avec ses amis.",,A2,A2,B2
La cloche de l’école sonne à quatorze heures pour que tout le monde retourne en classe jusqu’à dix-sept heures.,,A2,A2,B2
La journée n’est pas fini pour Théo qui doit rentrer à la maison pour faire ses devoirs.,,A1,A2,B2
"Une fois qu’il a tout fini, Théo peut enfin aller jouer et s’amuser avant de dîner avec ses parents.",,A1,A2,B2
"Pour se détendre, Théo prend souvent un bain le soir avant de jouer encore un peu et d’aller dormir.",,A2,A2,B2
Tout le monde aime les centres commerciaux.,,A2,A2,A2
"En été comme en hiver, les gens se bousculent dans ces endroits fantastiques remplis de boutiques variées et d'animations diverses.",,A2,A2,B2
"En effet, même si vous ne souhaitez pas acheter quelque chose, il est toujours intéressant de passer du temps dans les centres commerciaux.",,A2,A2,B2
"Le centre commercial est l'endroit idéal pour passer un bon moment avec sa famille, ses amis ou ses collègues de travail.",,B1,A2,B2
Les gens y vont notamment pour déguster un bon hamburger assis près de la fontaine ou tout en regardant un spectacle de danse.,,A1,A2,B2
"Côté magasins, on peut trouver de tout dans un centre commercial : hypermarchés pour faire ses courses, boutiques de vêtements et de sport, librairies, etc.",,B1,B1,B2
Vous ne risquerez pas de vous ennuyer dans un lieu aussi animé.,,A2,A2,B2
"En France, il y a au total 11 fêtes pendant l’année.",,A2,A2,A2
"Ce sont des jours fériés, c’est-à-dire des jours pendant lesquels on ne travaille pas.",,A2,A2,B1
Certaines fêtes sont civiles et d’autre sont d’origine religieuses.,,A2,A2,A2
Voici les principales.,,A2,A1,A1
Le jour de l’An correspond au 1 janvier.,,A2,A1,A1
"On le fête avec ses amis ou sa famille, et on souhaite « bonne année ! » à ses proches.",,A2,A2,A2
Le 14 juillet est la fête nationale française.,,A2,A1,A1
Elle célèbre la prise de la Bastille qui a eu lieu le 14 juillet 1789.,,A1,A2,B2
Des feux d’artifices et des défilés militaires sont organisés.,,A2,A2,B2
Le 8 mai est la fête de la Victoire.,,A2,A1,A2
"C’est la commémoration, c’est-à-dire la fête anniversaire, de la fin de la Seconde Guerre mondiale.",,A1,A2,A2
"Le 1er mai correspond à la fête du Travail, et rappelle la lutte des ouvriers pour réduire la journée de travail à huit heures.",,A1,A2,A2
"Ce jour-là, on offre traditionnellement du muguet, une petite fleur blanche, à ses proches.",,A1,A2,A2
Noël a lieu le 25 décembre.,,A1,A1,A2
C’est une fête chrétienne qui célèbre la naissance de Jésus.,,A1,A1,A2
"Les familles se réunissent et partagent un bon repas le soir du 24 décembre, et on s’offre des cadeaux.",,A1,A2,B1
"Enfin, Pâques n’a pas de date fixe, c’est un dimanche compris entre le 22 mars et le 25 avril.",,A1,A2,B1
"À cette occasion, les parents cachent des oeufs en chocolat dans la maison et le jardin, et les enfants s'amusent à les chercher.",,A1,A2,B1
"Je m'appelle Camille et quand j'étais enfant, j'avais des rêves plein la tête.",,A1,A2,B1
Je voulais être professeur et enseigner les mathématiques.,,A2,A1,A2
"Puis, je voulais devenir docteur pour soigner les malades.",,A1,A1,A2
"Pour moi, les médecins et les infirmières sont des héros sans costume.",,A2,A2,B1
Mon ami Thomas rêvait d'être cuisinier.,,A2,A1,A1
C'est parce qu'il n'aimait pas les plats de la cantine.,,A1,A1,A1
Il pensait qu'un chef pouvait manger des pizzas et des frites tous les jours.,,A1,A1,A1
"Puis, plus grand, je découvrais les métiers de policier et d'avocat dans un film.",,A1,A1,A1
Je me disais alors que je voulais aussi combattre pour la justice.,,A1,A1,A1
Je voulais poursuivre les criminels et défendre les gentils.,,A1,A1,A1
Mais le monde ne fonctionne pas toujours ainsi.,,A2,A1,A1
"Adolescent, je voulais devenir pompier.",,A1,A1,A1
Mes parents m’encourageaient à devenir sapeur-pompier volontaire pour voir si cette carrière était réellement pour moi.,,A1,A2,A2
J'étais donc lycéen et pompier à la fois.,,A1,A1,A1
 J'étais fier !,,A1,A1,A1
"Mais ma plus grande passion, c'est l'art.",,A1,A1,A1
"Et aujourd'hui, je suis artiste.",,A1,A1,A1
 Je peins des tableaux dans mon studio.,,A1,A1,A1
"Mon ami Thomas, lui, est dentiste.",,A1,A1,A1
"Pourtant, quand on était petits, il détestait aller chez le dentiste.",,A1,A2,A2
Il pleurait à chaque fois.,,A1,A1,A1
"Depuis un an, mon mari Cédric, nos trois enfants et moi allons au marché tous ensemble le dimanche matin.",,A1,A2,A2
C'est notre petite tradition à nous cinq.,,A1,A1,A1
"La semaine, je me lève à six heures du matin et mon mari à huit heures.",,A2,A2,A2
"Mais le weekend, nous nous levons tous les deux à neuf heures.",,A1,A1,A1
"Notre garçon de sept ans, et nos jumelles de quatre ans se lèvent quand ils veulent, mais pas plus tard que dix heures.",,A1,A2,A2
"Nous aimons prendre le petit-déjeuner en famille et vers onze heures, nous nous rendons au marché.",,A1,A2,A2
Nos filles aiment bien nous aider à choisir les fruits et légumes.,,A1,A1,A1
Nous avons l'habitude d'acheter quinze pommes.,,A1,A1,A1
Ce sont elles qui les comptent et les mettent dans notre panier.,,A2,A1,A1
"Souvent, nous achetons aussi seize tomates, vingt-cinq bananes, environ dix-huit abricots et douze œufs.",,A1,A2,A2
Nous prenons également treize ou quatorze carottes.,,A1,A1,A1
"Au moment de payer, notre petit garçon est toujours volontaire.",,A1,A1,A1
Il n'aime pas donner les billets de vingt ou de cinquante euros.,,A1,A1,A1
Il préfère quand les sommes ne sont pas arrondies.,,A2,A1,A1
"Si nous devons payer soixante-deux euros et quatre-vingt-cinq centimes chez le boucher par exemple, il est content.",,A1,A2,A2
"Aujourd’hui, je vais te présenter ma famille.",,A1,A1,A1
"Je m’appelle Laurent et j’habite à Paris avec mes parents, ma sœur ainée et mon frère.",,A1,A1,A1
Je vais à l’école pendant la journée.,,A1,A1,A1
Mon père s’appelle Alain.,,A1,A1,A1
Il travaille en ville.,,A2,A1,A1
Ma mère Gertrude tient une mercerie.,,A2,A2,A2
"Pendant les grandes vacances, nous allons à la campagne chez mes grands-parents.",,A1,A1,A1
Mon grand-père nous adore et nous offre de nombreux cadeaux.,,A1,A1,A1
Ma tante Marcelline habite près de chez eux.,,A1,A1,A1
"Parfois, ma grand-mère Marie l’invite à la maison pour le déjeuner.",,A1,A1,A1
Elle vient avec son mari et mes cousins Lionel et Marcel.,,A2,A1,A1
Nous passons de bons moments à jouer ensemble dans le jardin.,,A1,A1,A1
Ma sœur ainée a 14 ans.,,A1,A1,A1
Elle joue du violon comme un grand artiste.,,A1,A1,A1
Mon frère Patrice est plus jeune que moi.,,A1,A1,A1
Il va à l’école des petits.,,A1,A1,A1
Il sait écrire son nom.,,A2,A1,A1
"Chaque soir, j’accompagne ma mère en vélo pour faire une promenade dans le parc avec notre chien Snowy.",,A1,A2,A2
Mon deuxième oncle Louis dit qu’il a des neveux adorables.,,A1,A1,A1
Sa femme Maryse est institutrice.,,A1,A1,A1
Ils ont deux enfants : un fils qui s’appelle André et une fille qui est très gentille.,,A1,A1,A1
J’aime beaucoup toute ma famille.,,A1,A1,A1
Je viens d’emménager dans ma nouvelle maison.,,A1,A1,A1
Elle est plus jolie que celle que j’avais avant.,,A1,A1,A1
Ma nouvelle maison est blanche avec des volets bleus et des fleurs rouges.,,A1,A1,A1
J’ai un garage pour ma voiture et pour mon vélo.,,A1,A1,A1
"A l’intérieur de ma maison, il y a un grand salon avec une table et quatre chaises pour accueillir mes amis.",,A1,A2,A2
Mon chat adore se blottir sur le canapé devant la télévision.,,A1,A1,A1
La cuisine est la pièce préférée de ma maison.,,A2,A1,A1
C’est ici que je cuisine des gâteaux et des pâtisseries.,,A2,A1,A1
"Pour aller dans ma chambre, je dois monter un escalier.",,A1,A1,A1
"Elle se situe au bout du couloir, à droite.",,A1,A1,A1
J’ai décidé de peindre les murs en jaune et d’y installer mon piano.,,A1,A1,A1
"A gauche, c’est ma salle de bain, avec vue sur mon jardin.",,A1,A1,A1
Je me sens très bien dans ma nouvelle maison !,,A1,A1,A1
"Chaque jour, Alice se lève vers six heures et prend un petit-déjeuner composé de pain, de fromage et d’œufs.",,A2,A2,A2
"Ensuite, elle prend sa douche et se prépare pour filer en dix minutes vers la gare.",,A2,A1,A1
"Le train qui l'emmène en ville est souvent bondé, les gens font grise mine durant le trajet de quinze minutes en consultant leurs smartphones, les écouteurs vissés aux oreilles alors que nous approchons de l'arrivée.",,A1,A2,A2
Il faut alors prendre le métro durant vingt minutes avant d'arriver devant l'école.,,A2,A1,A1
De longues heures s’enchaînent pendant lesquelles Alice et ses camarades apprennent de nouvelles choses.,,A1,A1,A1
"L'après-midi, Alice va nager à la piscine.",,A2,A1,A1
"Le soir venu, il faut rentrer en prenant le même chemin que le matin.",,A1,A1,A1
"Elle fait ses devoirs puis prépare le dîner et finalement, elle regarde un film avant d'aller se coucher.",,A1,A1,A1
Stéphane écrit à Hélène qu’il connaît bien.,,A1,A1,A1
Il est très fâché parce qu’elle ne lui a pas répondu au téléphone.,,A1,A1,A1
"Ensemble, ils vont partir à Paris et ils doivent prendre l’avion le 2/11, au début de l’après-midi.",,A1,A2,A2
Stéphane voudrait commencer à faire ses bagages.,,A2,A1,A1
"Comme sa valise est trop petite, il demande à Hélène si elle veut toujours bien lui en prêter une : il peut venir la chercher chez elle puisqu’ils n’habitent pas loin l’un de l’autre.",,A1,A2,A2
"Le frère de Stéphane peut venir les rechercher à l’aéroport le 26/11, mais malheureusement, il a refusé de les y conduire.",,B1,A2,A2
Stéphane espère une réponse rapide d’Hélène.,,A1,A1,A1
Bons baisers de la Réunion où nous passons quelques jours de vacances.,,A1,A1,A1
Il fait un temps magnifique et nous avons des milliers de choses à faire !,,A1,A1,A1
"Hier, dès notre arrivée, nous avons fait de la plongée sous-marine.",,A1,A1,A1
Domi était très contente de découvrir ce monde magnifique.,,A2,A1,A1
"Ce soir, je suis allé faire les courses pour notre pique-nique de demain : Nous allons faire une randonnée sur le plus grand volcan de l'île.",,A1,A2,A2
"Ce sera inoubliable, j'en suis sûr!",,A1,A1,A1
"Et chez vous, comment va la vie ?",,A2,A1,A1
Nous espérons que Lulu est enfin guéri de sa bronchite.,,A1,A2,A2
"Dani, est-ce que tu t'es inscrite à ton concours administratif ?",,B1,A1,A1
"Malheureusement, une semaine est vite passée et nous serons bientôt de retour à Paris.",,A2,A1,A1
Est-ce que vous avez des projets pour le Nouvel An ?,,A1,A1,A1
"Nous organisons une soirée le 31, à partir de 19 heures, vous viendrez, n'est-ce pas?",,A1,A1,A1
Il suffit de rester 30 minutes dans la cabine LIRVA pour être capable de se débrouiller dans toutes les situations de la vie quotidienne et dans la langue de son choix.,,A1,A1,A1
"Cette incroyable découverte, qualifiée de sensationnelle par les médias du monde entier, est actuellement testée dans 30 pays et sera diffusée à l'échelle planétaire dès le mois prochain.",,A2,A2,B1
Les habitants du monde entier sont invités à une assemblée extraordinaire à Nossiop pour réfléchir aux applications de cette nouvelle technologie et à ses conséquences pour l'humanité.,,A1,A2,B1
"C’est super, je fais plein de choses avec mes cousins: aujourd’hui, on est allés à la piscine et demain, on va faire du camping en forêt.",,A2,A2,B1
"Jeudi, on va au restaurant pour l’anniversaire de ma sœur.",,A1,A1,A1
"David, lui, va à l’école le mercredi matin. ",,A1,A1,A1
"Assis en terrasse dans le quartier touristique du Vieux Lyon, James sirote une limonade bien fraîche. ",,A2,A1,A1
"Avec la chaleur estivale, cette journée d’exploration se révèle très fatigante !",,B1,A1,B1
"Ce matin, James s’est levé tôt, a loué un vélo et a parcouru les rues de Lyon.",,A2,A1,A1
Il a finalement opté pour cette dernière.,,A1,A1,A1
"Il s’est également arrêté dans une boulangerie où il a longuement hésité entre un pain au chocolat, un croissant, et une brioche aux pralines, pâtisserie typiquement lyonnaise.",,A1,A2,A2
"En chemin, il a pu admirer la magnifique fontaine Bartholdi sur la grande Place des Terreaux.",,B1,A2,B1
"Il a longé les quais de la Saône, traversé la presqu’île, puis rejoint les quais du Rhône.",,B2,A2,A2
James a ensuite rejoint le quartier moderne de la Confluence où le fleuve de la Saône se jette dans le Rhône.,,B1,A2,B1
Il s’apprête maintenant à prendre le funiculaire qui l’emmènera au sommet de la colline de Fourvière.,,A2,A2,A2
"En redescendant à pied, il s’arrêtera pour visiter le plus ancien théâtre gallo-romain de France, puis ira dîner dans un bouchon lyonnais, restaurant typique de la ville.",,A1,A2,A2
"Là, il pourra visiter la fameuse basilique Notre Dame de Fourvière et contempler la splendide vue panoramique sur la ville de Lyon depuis le belvédère.",,A1,B2,B2
"Ah, le mois de décembre : ses illuminations, la couronne de l’Avent pour les catholiques, et le fameux calendrier empli de chocolat pour les enfants…",,A2,B2,B2
"Finies les façades grises et ternes, terminée la morosité ambiante : les rues se parent de guirlandes scintillantes et les vitrines rivalisent d’imagination pour leur décoration.",,A2,C2,C2
Tous ces préparatifs rendent chaque année l’atmosphère festive et enjouée.,,A2,B2,B2
Il n’y a qu’à observer la métamorphose des rues commerçantes pour en être convaincu.,,A1,B2,B2
"Les passants semblent moins pressés, et s’attardent plus facilement devant une devanture ou dans les rayons.",,A2,A2,A2
Le 24 décembre est le jour du réveillon.,,A2,A1,A1
"C’est l’occasion de fêter Noël en famille, en petit comité.",,A2,A2,A2
"Un sapin fraîchement coupé est installé dans la cuisine ou le salon, et décoré à l’aide de guirlandes colorées et de boules de noël.",,A1,A2,A2
"Les cadeaux seront déposés à son pied, le soir du 24 ou le 25 décembre au matin.",,B1,A1,A1
"Une fois franchi le seuil de l'entrée, on peut apercevoir, dans un coin, un tas de chaussures sombres, puis, tel un arc-en-ciel, une rangée de téléphones portables.",,A1,B1,B1
"En effet, sitôt rentrés chez eux, Vanessa, 14 ans, Raphaël, 16 ans, Marie, 44 ans, et Patrick, 45 ans, branchent les petites boîtes colorées afin de les recharger.",,A1,A2,A2
"C'est devenu un rituel, désormais en vigueur dans de nombreuses familles, encore qu'en France le phénomène portable n'ait pas remporté auprès des adolescents le même succès que dans les pays scandinaves.",,A2,A2,A2
"Loin de faire l'unanimité, le téléphone mobile est souvent comparé à un cordon ombilical qui entrave l'autonomie, maintient la dépendance, infantilise.",,A1,C1,C1
"De plus, les sonneries stridentes, les hurlements, dans le train, dans le bus, donnent envie de les casser, comme l'écrit une adolescente de 12 ans au journal « Okapi ».",,A1,B2,B2
On est frappé par le jugement acerbe qu'émettent certains adolescents quand ils évoquent les possesseurs de portable de leur âge.,,A1,C1,C1
"Le sans-gêne, la frime sont critiqués.",,A2,C1,C1
"Le port à la ceinture aussi, de même que la « panoplie de la frimeuse accomplie », décrite en ces termes : « Doudoune volumineuse, chaussures à talon compensé et l'Indispensable Téléphone Portable. ».",,A2,B2,B2
"Est également stigmatisée la nature des échanges à l'occasion de courses au supermarché, par exemple, «pour questionner sur la marque de yaourts ».",,A2,B2,B2
"Il est reconnu utile pour les adultes qui travaillent, surtout pour « les médecins, les reporters », ceux qui doivent voyager, ou encore en cas de pépin, de panne sur l'autoroute, d'accident.",,A2,C1,C1
"L'envie d'en avoir un ne manque pas, ou encore la joie d'exprimer qu'on en possède un et le bonheur que cela procure, même si parfois des drames s'ensuivent : « Je me suis fâchée avec ma meilleure amie, car elle disait qu'à mon âge, c'était inutile et pour la frime ; mais, depuis que j'en ai un, j'ai acquis de nombreuses libertés : je peux désormais aller seule en ville, j'ai la permission de minuit dans les soirées...",,A2,C1,C1
"De toute façon, on peut se dire que, plus tard, avoir un portable, ce sera aussi naturel que d'avoir un baladeur ou une télé. »",,B1,B2,B2
"Lucides, les adolescents mettent au point leur conduite, en cherchant à ne pas reproduire ce qui leur paraît négatif du comportement des autres - mais il leur arrive de se laisser déborder par l'émotion lorsque leur mobile sonne durant un cours...",,A2,C1,C1
